,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
111,Rio Claro,-22.41,-47.56,77.0,36,0,8.05
112,Tupiza,-21.44,-65.72,54.05,6,63,20.6
113,Laguna,16.17,-88.94,89.6,75,40,9.17
114,Kampot,10.62,104.18,80.6,88,75,8.05
115,Touros,-5.2,-35.46,80.6,69,20,11.41
116,Putina,-14.91,-69.87,62.6,6,40,10.29
117,Kenora,49.76,-94.48,71.6,73,100,18.34
118,Khartoum,15.59,32.54,91.4,43,0,11.41
119,Castro,-42.48,-73.76,46.4,87,90,13.87
120,Maxixe,-23.86,35.35,66.2,88,0,6.93
121,Manica,-18.94,32.88,69.8,73,0,5.1
122,Alizai,33.94,71.55,82.4,58,40,6.93
123,Tual,-5.67,132.75,76.19,84,89,18.52
124,Lyubech,51.7,30.66,60.53,88,0,5.59
125,Kavieng,-2.57,150.8,83.75,76,73,15.12
126,Pevek,69.7,170.27,46.13,70,100,1.25
127,Nome,30.04,-94.42,80.01,88,90,6.93
128,Pangnirtung,66.15,-65.72,50.0,71,40,11.41
129,Sohag,26.55,31.7,91.4,21,0,5.82
130,Saint George,39.45,22.34,82.0,50,20,1.72
131,Monterey,36.6,-121.89,95.0,68,1,6.93
132,Whyalla,-33.04,137.58,35.6,93,0,5.82
133,Vardo,39.62,-77.74,79.0,39,75,11.41
134,Yellowknife,62.45,-114.38,64.4,52,75,4.7
135,Tautira,-17.73,-149.15,82.4,65,20,9.17
136,Dharchula,29.85,80.53,53.69,90,100,2.64
137,Igrim,63.19,64.42,42.35,83,100,4.27
138,Nahuala,14.85,-91.32,89.6,66,75,9.17
139,Saskylakh,71.97,114.09,50.63,90,68,5.21
140,Esperance,-33.86,121.89,42.8,81,0,5.82
141,Katobu,-4.94,122.53,66.83,93,55,2.98
142,Neryungri,56.66,124.71,54.59,98,100,3.24
143,Champerico,16.38,-93.6,93.2,44,20,3.36
144,Blagoyevo,63.37,47.92,40.55,97,1,2.37
145,Bilma,18.69,12.92,91.31,38,50,11.52
146,Guerrero Negro,27.97,-114.04,78.89,69,68,9.42
147,Ostrovnoy,68.05,39.51,41.45,89,100,11.14
148,Fez,34.03,-5.02,84.2,39,40,4.7
149,Doha,25.29,51.53,95.0,67,0,3.36
150,Faya,18.39,42.45,71.6,45,0,6.93
151,Changde,29.04,111.68,74.75,85,68,10.22
152,Bredasdorp,-34.53,20.04,55.4,87,99,2.24
153,Avera,33.19,-82.53,84.2,74,90,6.93
154,Pati,-21.2,-48.0,86.0,22,0,6.93
155,Monastyrshchina,54.35,31.84,55.31,88,80,3.56
156,Bambanglipuro,-7.95,110.28,73.31,90,69,6.17
157,Hulan Ergi,47.2,123.63,59.99,95,68,5.32
158,Tuatapere,-46.13,167.69,44.01,96,95,8.99
159,Mar del Plata,-46.43,-67.52,50.81,32,6,11.59
160,Kovdor,67.56,30.47,49.37,99,100,3.56
161,Saint-Georges,46.12,-70.67,75.0,45,0,1.01
162,Gouyave,12.16,-61.73,87.8,70,20,13.87
163,Kruisfontein,-34.0,24.73,56.21,90,42,14.25
164,Nata,-20.21,26.19,62.69,32,0,9.95
165,Nuuk,64.17,-51.74,51.8,57,40,14.99
166,Soller,50.73,6.56,82.0,73,0,2.24
167,El Estor,15.53,-89.34,89.69,50,50,4.92
168,Los Llanos de Aridane,28.66,-17.92,75.2,78,0,16.11
169,Karagay,58.27,54.93,47.75,88,99,11.97
170,Tiarei,-17.53,-149.33,82.4,65,20,9.17
171,Provideniya,64.42,-173.23,50.0,93,90,4.47
172,Adwa,14.16,38.9,61.07,83,96,2.93
173,Argir,62.0,-6.77,51.8,93,100,13.87
174,Seydi,13.34,7.75,74.03,77,32,7.72
175,Muddebihal,16.33,76.13,72.59,82,50,14.36
176,Taltal,-25.41,-70.49,63.23,61,0,4.54
177,Quzhou,28.97,118.86,74.93,96,39,1.34
178,Nouakchott,18.08,-15.98,82.4,74,40,11.41
179,Paamiut,61.99,-49.67,41.63,84,0,22.1
180,Sabha,27.03,14.43,87.53,23,0,14.27
181,Lowestoft,52.48,1.75,73.4,68,0,5.82
182,Ponta do Sol,-20.63,-46.0,68.99,46,0,5.97
183,Narsaq,60.91,-46.05,55.4,32,0,9.17
184,Saint-Michel-des-Saints,46.68,-73.92,70.0,5,0,1.01
185,Aquiraz,-3.9,-38.39,82.4,65,20,16.11
186,Nivala,63.93,24.96,59.0,94,57,3.0
187,Dingle,11.0,122.67,73.85,87,89,2.33
188,Kawalu,-7.38,108.21,65.93,92,100,2.64
189,Alenquer,-1.95,-54.74,87.8,66,20,11.41
190,Beyneu,45.32,55.19,82.31,20,100,6.24
191,Tiksi,71.64,128.87,46.49,94,52,4.14
192,Kimbe,-5.56,150.15,75.11,92,100,2.68
193,Nortelandia,-14.45,-56.8,94.01,23,50,3.91
194,Newport,41.49,-71.31,69.8,64,75,18.34
195,Molina,-35.11,-71.28,66.2,52,0,6.93
196,Tourlaville,49.64,-1.57,64.0,93,0,4.7
197,Chifeng,42.27,118.96,59.45,82,100,9.06
198,Montrose,56.71,-2.47,64.4,93,5,4.7
199,Seoul,37.57,126.98,71.6,106,90,1.12
200,Geraldton,49.72,-86.95,73.4,49,40,13.87
201,Soyo,-6.13,12.37,75.2,78,75,4.63
202,Morada Nova,-5.1,-38.37,82.49,44,18,5.53
203,Qinhuangdao,39.94,119.59,66.83,82,100,3.33
204,Cayenne,4.94,-52.33,84.2,79,84,4.7
205,Lompoc,34.64,-120.46,87.01,68,1,14.99
206,Maceio,-9.67,-35.74,77.0,78,40,11.41
207,Carnarvon,-30.97,22.13,53.33,23,0,7.4
208,Husavik,50.56,-96.99,68.0,85,97,7.0
209,San Pedro,-33.68,-59.66,66.0,70,100,6.29
210,Ranong,9.96,98.62,82.67,76,100,19.75
211,Newton,42.34,-71.21,69.8,67,0,14.99
212,Purranque,-40.91,-73.16,53.6,81,90,8.05
213,Half Moon Bay,37.46,-122.43,87.01,64,20,19.46
214,Cabo San Lucas,22.89,-109.91,96.01,58,40,19.46
215,Sechura,-5.56,-80.82,62.87,86,76,16.73
216,Coquimbo,-29.95,-71.34,57.2,82,40,11.41
217,Omsukchan,62.53,155.8,46.67,88,100,5.44
218,Ahipara,-35.17,173.16,55.99,100,0,25.23
219,Banjar,-7.37,108.54,68.63,93,99,0.11
220,Port Macquarie,-31.43,152.91,55.4,87,75,5.82
221,Skibbereen,51.55,-9.27,60.8,77,75,9.17
222,Moose Factory,51.26,-80.61,77.0,44,1,12.75
223,Lata,30.78,78.62,45.95,98,100,3.04
224,Iskateley,67.68,53.15,35.51,91,35,8.57
225,Kosa,32.67,130.82,68.0,93,59,4.0
226,Atakpame,7.53,1.13,71.15,96,100,2.42
227,Kavaratti,10.57,72.64,81.77,78,70,17.29
228,Narasannapeta,18.42,84.04,78.89,90,100,2.01
229,Lasa,34.92,32.53,82.4,78,0,5.82
230,Eagle Pass,28.71,-100.5,102.2,35,20,4.29
231,Lumphat,13.5,106.97,73.67,99,100,2.59
232,Belyy Yar,53.6,91.39,60.8,87,0,4.47
